Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
APPLE INC,AAPL,037833100,2046251,7.415509,-,189919437.000,USD
NVIDIA CORP,NVDA,67066G104,2379504,6.825547,-,308201779.000,USD
MICROSOFT CORP,MSFT,594918104,2588173,6.260921,-,93413784.000,USD
AMAZON.COM INC,AMZN,023135106,2000019,4.146126,-,117580954.000,USD
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,2.628100,-,27390016.000,USD
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,2.226750,-,73413160.000,USD
BROADCOM INC,AVGO,11135F101,BDZ78H9,2.179753,-,58682427.000,USD
TESLA INC,TSLA,88160R101,B616C79,2.130981,-,35088983.000,USD
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,1.825217,-,59796311.000,USD
BERKSHIRE HATHAWAY INC CL B,BRK-B,084670702,2073390,1.663444,-,23029610.000,USD
JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.359345,-,35372830.000,USD
ELI LILLY + CO,LLY,532457108,2516152,1.233330,-,9899466.000,USD
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,1.093032,-,21712093.000,USD
EXXON MOBIL CORP,XOM,30231G102,2326618,0.948844,-,55221184.000,USD
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,0.934053,-,11562528.000,USD
MASTERCARD INC   A,MA,57636Q104,B121557,0.861466,-,10298789.000,USD
COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.811025,-,5567174.000,USD
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.786391,-,29589263.000,USD
WALMART INC,WMT,931142103,2936921,0.785932,-,54537273.000,USD
HOME DEPOT INC,HD,437076102,2434209,0.776256,-,12479862.000,USD
NETFLIX INC,NFLX,64110L106,2857817,0.762507,-,5370365.000,USD
JOHNSON + JOHNSON,JNJ,478160104,2475833,0.697586,-,30250055.000,USD
ABBVIE INC,ABBV,00287Y109,B92SR70,0.637927,-,22202567.000,USD
SALESFORCE INC,CRM,79466L302,2310525,0.635942,-,12011214.000,USD
BANK OF AMERICA CORP,BAC,060505104,2295677,0.594797,-,83871509.000,USD
ORACLE CORP,ORCL,68389X105,2661568,0.536836,-,20193272.000,USD
MERCK + CO. INC.,MRK,58933Y105,2778844,0.504693,-,31783233.000,USD
CHEVRON CORP,CVX,166764100,2838555,0.493286,-,20998619.000,USD
COCA COLA CO/THE,KO,191216100,2206657,0.482339,-,48711752.000,USD
CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.470724,-,50081707.000,USD
WELLS FARGO + CO,WFC,949746101,2649100,0.470152,-,41832506.000,USD
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.438507,-,7851025.000,USD
SERVICENOW INC,NOW,81762P102,B80NXX8,0.436928,-,2588099.000,USD
MCDONALD S CORP,MCD,580135101,2550707,0.421719,-,9003954.000,USD
PEPSICO INC,PEP,713448108,2681511,0.414607,-,17238068.000,USD
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,0.409138,-,11617608.000,USD
WALT DISNEY CO/THE,DIS,254687106,2270726,0.403745,-,22753066.000,USD
THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,0.402127,-,4805842.000,USD
LINDE PLC,LIN,G54950103,BNZHB81,0.396744,-,5982497.000,USD
